,Algorithms,Time wrt BF,Accuracy wrt BF,Dataset size wrt BF
0,None,1.0,1.0,1.0
1,CNN,0.5729966335208023,0.6133972509757339,0.5700000000000001
2,CRR,0.3539563574136347,0.9442558968267436,0.3516666666666667
