,Algorithms,Algorithm time,Brute force time,Brute force accuracy,Ball tree time,Ball tree accuracy,KD tree time,KD tree accuracy,Dataset Size
0,None,0,4.616761242999928,0.7905555555555556,8.072060939999574,0.7905,6.085990597000091,0.7905555555555556,12000.0
1,CNN,2635.828331700999,2.585102545999689,0.7318333333333333,,,,,5829.0
2,CRR,124.55375504493713,2.778023797998685,0.7701666666666667,,,,,6952.0
