,Algorithms,Algorithm time,Brute force time,Brute force accuracy,Ball tree time,Ball tree accuracy,KD tree time,KD tree accuracy,Dataset Size
0,None,0,5.841730763999976,0.768854836675495,15.530425338999976,0.768854836675495,21.813870929000018,0.768854836675495,7928.0
1,CNN,2317.735836672,3.0494841139998243,0.6837243031908186,,,,,3699.0
2,CRR,88.21164584159851,3.9000040949999857,0.7336044898473957,,,,,4654.0
