,Algorithms,Algorithm time,Brute force time,Brute force accuracy,Ball tree time,Ball tree accuracy,KD tree time,KD tree accuracy,Dataset Size
0,None,0,0.015212142899999854,0.9975728155339806,0.010871626000000134,0.9975728155339806,0.01016166999999868,0.9975728155339806,960.0
1,CNN,0.2525833860000013,0.012142487590000002,0.8009708737864077,,,,,450.0
2,CRR,51.448243856430054,0.009859164450000292,0.8009708737864077,,,,,29.0
