,Algorithms,Algorithm time,Brute force time,Brute force accuracy,Ball tree time,Ball tree accuracy,KD tree time,KD tree accuracy,Dataset Size
0,None,0,0.008175338269999343,0.7705627705627706,0.007597961000001874,0.7705627705627706,0.008207960999996544,0.7705627705627706,537.0
1,CNN,1.2005414129999963,0.00681036692000049,0.7142857142857143,,,,,315.0
2,CRR,2.755319118499756,0.0067184915500010335,0.7316017316017316,,,,,325.0
