,Algorithms,Algorithm time,Brute force time,Brute force accuracy,Ball tree time,Ball tree accuracy,KD tree time,KD tree accuracy,Dataset Size
0,None,0,0.0022180475399993325,0.8888888888888888,0.0019525440000052185,0.8888888888888888,0.0019030530000065937,0.8888888888888888,147.0
1,CNN,0.018546217000007914,0.001923628789999725,0.7142857142857143,,,,,52.0
2,CRR,1.3349380493164062,0.0018148534300001984,0.8095238095238095,,,,,36.0
