,Algorithms,Algorithm time,Brute force time,Brute force accuracy,Dataset Size
0,None,0,30.730966715998875,0.967930029154519,20.0
1,CNN,0.003246745998694678,18.502282284000103,0.27405247813411077,12.0
2,CRR,1.9006309509277344,10.788906477000637,0.880466472303207,7.0
