,Algorithms,Algorithm time,Brute force time,Brute force accuracy,Ball tree time,Ball tree accuracy,KD tree time,KD tree accuracy,Dataset Size
0,None,0,0.02042889204000019,0.5583333333333333,0.017824039000004177,0.5583333333333333,0.019496367000002124,0.5583333333333333,1119.0
1,CNN,0.6872834119999993,0.012803346790001485,0.43125,,,,,92.0
2,CRR,4.654054880142212,0.01693941423000055,0.5416666666666666,,,,,764.0
