,Algorithms,Accuracy wrt BF,Dataset Size wrt BF,Time wrt BF
0,None,1.0,1.0,1.0
1,CNN,0.8687669011163025,0.4102383411202652,0.5409778847597126
2,CRR,0.9354893020601552,0.40468008128707417,0.6346683723090099
