,Algorithms,Algorithm time,Brute force time,Brute force accuracy,Dataset Size
0,None,0,39.646740680998846,0.9466666666666667,150.0
1,CNN,0.06797118400027102,21.564669699999286,0.8933333333333333,81.0
2,CRR,43.4299521446228,14.147410626001147,0.9266666666666666,53.0
